Fecha_Numero,Jugador,Oponente,Prediccion_Decimal,Prediccion_Entero,Historico_Tiros_Totales,Historico_Tiros_Puerta,Promedio_Goles_vs_Oponente,Confianza_Modelo
13,Leonardo_Castro,Atletico Nacional,0.53,1,2.0,1.0,0.8,0.9520000000000001
13,Marco_Perez,Deportivo Pasto,0.46,0,2.88,1.25,0.5,0.975
14,Carlos_Bacca,Deportes Tolima,0.4,0,1.7,0.8,0.4,0.951
14,Dayro_Moreno,La Equidad,0.24,0,2.62,0.88,0.25,0.948
14,Hugo_Rodallega,Medellin,0.46,0,4.2,1.6,0.4,0.91
14,Leonardo_Castro,CD América,0.74,1,3.43,1.71,0.71,0.9520000000000001
14,Marco_Perez,Deportes Tolima,0.27,0,2.0,1.0,0.0,0.975
15,Carlos_Bacca,Alianza FC,0.59,1,3.0,1.5,0.75,0.951
15,Dayro_Moreno,Medellin,0.69,1,3.6,2.0,0.8,0.948
15,Hugo_Rodallega,Llaneros,0.21,0,4.2,1.6,0.4,0.91
15,Leonardo_Castro,Pereira,0.57,1,3.0,1.33,1.0,0.9520000000000001
15,Marco_Perez,Alianza FC,0.32,0,2.8,0.8,0.6,0.975
16,Carlos_Bacca,Pereira,0.4,0,1.0,0.56,0.56,0.951
16,Dayro_Moreno,Llaneros,0.42,0,1.0,1.0,0.0,0.948
16,Hugo_Rodallega,Boyacá Chicó,0.51,1,4.67,2.0,0.33,0.91
16,Leonardo_Castro,Bucaramanga,0.6,1,4.0,1.4,0.4,0.9520000000000001
16,Marco_Perez,Pereira,0.2,0,1.43,0.57,0.29,0.975
17,Carlos_Bacca,CD América,0.3,0,1.0,0.71,0.29,0.951
17,Dayro_Moreno,Unión Magdalena,0.57,1,2.0,1.5,0.5,0.948
17,Hugo_Rodallega,Millonarios,0.13,0,3.22,1.22,0.44,0.91
17,Leonardo_Castro,Independiente Santa Fe,0.6,1,3.36,1.36,0.73,0.9520000000000001
17,Marco_Perez,CD América,0.55,1,2.33,1.44,0.44,0.975
18,Carlos_Bacca,Independiente Santa Fe,0.28,0,2.0,0.71,0.29,0.951
18,Dayro_Moreno,Millonarios,0.2,0,1.5,0.38,0.38,0.948
18,Hugo_Rodallega,Junior,0.4,0,3.0,1.33,0.0,0.91
18,Leonardo_Castro,Once Caldas,0.24,0,2.25,0.5,0.0,0.9520000000000001
18,Marco_Perez,Independiente Santa Fe,0.96,1,3.2,2.6,1.4,0.975
19,Carlos_Bacca,Fortaleza CEIF,0.34,0,1.0,1.0,1.0,0.951
19,Dayro_Moreno,Deportivo Pasto,0.39,0,3.5,1.17,0.17,0.948
19,Hugo_Rodallega,Deportivo Cali,0.28,0,5.0,2.0,1.33,0.91
19,Leonardo_Castro,Envigado,0.5,0,3.75,1.0,0.0,0.9520000000000001
19,Marco_Perez,Fortaleza CEIF,0.14,0,1.0,0.5,0.0,0.975
20,Carlos_Bacca,Atlético Nacional,0.56,1,1.25,1.0,0.25,0.951
20,Dayro_Moreno,Deportivo Cali,0.58,1,4.17,1.83,0.5,0.948
20,Hugo_Rodallega,Alianza FC,0.31,0,5.33,2.33,0.33,0.91
20,Leonardo_Castro,Boyacá Chicó,0.29,0,3.0,0.75,0.5,0.9520000000000001
20,Marco_Perez,Atlético Nacional,0.31,0,3.0,1.0,0.0,0.975
