Team,Name,Torneo,Goals,Succ. dribbles,Tackles,Assists,Accurate passes %,Big chances missed,Total shots,Goal conversion %,Interceptions,Clearances,Errors leading to goal,Big chances created,Accurate passes,Key passes,Saves,Clean sheet,Penalties saved,Saves from inside box,Runs out
Deportivo Pereira,Geisson Perea,Apertura 2023A,1.0,0.0,16.0,0.0,87.37,0.0,7.0,14.29,18.0,69.0,0.0,0.0,415.0,1.0,,,,,
Atlético Huila,George Saunders,Apertura 2023A,0.0,2.0,11.0,0.0,80.98,0.0,2.0,0.0,9.0,3.0,0.0,0.0,166.0,2.0,,,,,
Llaneros FC,Geovan Montes,Apertura 2025A,2.0,3.0,3.0,0.0,82.73,1.0,16.0,12.5,3.0,17.0,0.0,0.0,230.0,5.0,,,,,
Rionegro Águilas Doradas,Geovanni Banguera,Apertura 2025A,0.0,0.0,1.0,0.0,63.44,0.0,0.0,0.0,0.0,4.0,0.0,0.0,118.0,0.0,16.0,2.0,0.0,8.0,1.0
Once Caldas,Gerardo Ortiz,Apertura 2023A,0.0,0.0,0.0,0.0,46.51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,5.0,1.0,0.0,3.0,1.0
Patriotas Boyacá,Gerbin Silva,Apertura 2024A,0.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,
Atlético Huila,Germán Gutiérrez,Clausura 2023B,1.0,0.0,1.0,1.0,67.65,0.0,5.0,20.0,4.0,7.0,0.0,1.0,23.0,5.0,,,,,
Deportivo Cali,Germán Mera,Clausura 2023B,0.0,1.0,7.0,0.0,77.42,0.0,10.0,0.0,4.0,33.0,0.0,0.0,216.0,0.0,,,,,
Deportivo Cali,Germán Mera,Apertura 2023A,0.0,3.0,24.0,0.0,76.86,0.0,23.0,0.0,29.0,64.0,0.0,1.0,608.0,5.0,,,,,
Deportivo Cali,Gian Cabezas,Apertura 2025A,0.0,6.0,3.0,0.0,84.57,0.0,6.0,0.0,7.0,2.0,0.0,0.0,148.0,6.0,,,,,
Deportivo Cali,Gian Cabezas,Clausura 2024B,1.0,8.0,14.0,0.0,86.39,0.0,11.0,9.09,6.0,5.0,0.0,2.0,349.0,10.0,,,,,
Deportivo Cali,Gian Cabezas,Apertura 2024A,1.0,9.0,13.0,1.0,85.82,0.0,11.0,9.09,7.0,5.0,0.0,1.0,230.0,2.0,,,,,
Deportivo Cali,Gian Cabezas,Clausura 2023B,0.0,13.0,14.0,1.0,78.4,0.0,13.0,0.0,9.0,8.0,0.0,2.0,334.0,15.0,,,,,
Unión Magdalena,Gianfranco Baier,Clausura 2023B,0.0,1.0,11.0,0.0,74.07,0.0,4.0,0.0,2.0,3.0,0.0,0.0,120.0,4.0,,,,,
Unión Magdalena,Gianfranco Baier,Apertura 2023A,0.0,15.0,34.0,1.0,77.49,0.0,19.0,0.0,26.0,19.0,1.0,1.0,506.0,13.0,,,,,
Deportivo Pereira,Gianfranco Peña,Apertura 2025A,1.0,2.0,3.0,1.0,71.64,0.0,17.0,5.88,1.0,6.0,0.0,0.0,48.0,3.0,,,,,
Patriotas Boyacá,Gianfranco Peña,Apertura 2024A,1.0,1.0,1.0,0.0,69.44,5.0,16.0,6.25,0.0,8.0,0.0,0.0,50.0,1.0,,,,,
Atlético Nacional,Gianfranco Peña,Apertura 2023A,0.0,2.0,0.0,0.0,60.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,30.0,1.0,,,,,
Once Caldas,Gilbert Álvarez,Apertura 2025A,0.0,0.0,0.0,0.0,72.22,0.0,5.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,,,,,
Deportivo Pasto,Gilberto Garcia,Apertura 2023A,1.0,4.0,6.0,1.0,68.47,0.0,9.0,11.11,9.0,10.0,0.0,3.0,215.0,20.0,,,,,
Deportes Tolima,Gonzalo Lencina,Apertura 2025A,5.0,1.0,6.0,0.0,72.26,1.0,26.0,19.23,1.0,13.0,0.0,1.0,99.0,8.0,,,,,
Deportivo Pereira,Gonzalo Lencina,Clausura 2024B,1.0,3.0,7.0,2.0,67.09,1.0,21.0,4.76,1.0,5.0,0.0,0.0,53.0,5.0,,,,,
Deportivo Pereira,Gonzalo Lencina,Apertura 2024A,2.0,3.0,0.0,0.0,71.43,0.0,11.0,18.18,0.0,3.0,0.0,0.0,15.0,0.0,,,,,
Junior Barranquilla,Gonzalo Lencina,Clausura 2023B,1.0,4.0,3.0,0.0,78.41,1.0,14.0,7.14,0.0,6.0,0.0,0.0,69.0,5.0,,,,,
Atlético Bucaramanga,Gonzalo Lencina,Apertura 2023A,9.0,9.0,17.0,0.0,64.19,1.0,38.0,23.68,1.0,16.0,0.0,1.0,190.0,20.0,,,,,
Unión Magdalena,Gonzalo Lucero,Apertura 2023A,0.0,1.0,24.0,1.0,69.94,1.0,10.0,0.0,7.0,13.0,0.0,0.0,114.0,9.0,,,,,
Deportivo Pasto,Gonzalo Ritacco,Apertura 2025A,0.0,1.0,1.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,,,,,
Rionegro Águilas Doradas,Guillermo Celis,Apertura 2025A,1.0,2.0,12.0,0.0,90.74,0.0,3.0,33.33,6.0,13.0,0.0,0.0,402.0,4.0,,,,,
Rionegro Águilas Doradas,Guillermo Celis,Clausura 2024B,2.0,3.0,31.0,1.0,87.55,0.0,6.0,33.33,10.0,9.0,0.0,0.0,471.0,10.0,,,,,
Rionegro Águilas Doradas,Guillermo Celis,Apertura 2024A,0.0,4.0,45.0,0.0,90.56,0.0,0.0,0.0,21.0,6.0,0.0,0.0,691.0,10.0,,,,,
Rionegro Águilas Doradas,Guillermo Celis,Clausura 2023B,0.0,2.0,28.0,0.0,87.68,0.0,2.0,0.0,24.0,19.0,0.0,1.0,562.0,12.0,,,,,
Once Caldas,Guillermo Celis,Apertura 2023A,0.0,1.0,14.0,0.0,89.29,1.0,3.0,0.0,9.0,5.0,0.0,0.0,250.0,2.0,,,,,
Boyacá Chicó FC,Guillermo Guzmán,Apertura 2024A,0.0,0.0,5.0,0.0,71.74,0.0,0.0,0.0,7.0,10.0,0.0,0.0,66.0,0.0,,,,,
Junior Barranquilla,Guillermo Paiva,Apertura 2025A,2.0,3.0,5.0,0.0,81.38,1.0,11.0,18.18,3.0,8.0,0.0,1.0,118.0,9.0,,,,,
Deportivo La Equidad,Guillermo Tegüe,Apertura 2025A,0.0,0.0,5.0,0.0,81.95,0.0,7.0,0.0,9.0,47.0,0.0,0.0,286.0,1.0,,,,,
Independiente Medellín,Guillermo Tegüe,Apertura 2023A,0.0,0.0,0.0,0.0,87.14,0.0,0.0,0.0,1.0,7.0,0.0,0.0,61.0,0.0,,,,,
Deportivo Pasto,Gustavo Britos,Apertura 2024A,1.0,2.0,1.0,0.0,76.92,1.0,5.0,20.0,0.0,1.0,0.0,0.0,20.0,1.0,,,,,
Deportivo Pasto,Gustavo Britos,Clausura 2023B,1.0,1.0,1.0,0.0,62.79,1.0,11.0,9.09,5.0,2.0,0.0,0.0,54.0,1.0,,,,,
Atlético Huila,Gustavo Britos,Apertura 2023A,6.0,8.0,9.0,1.0,68.1,2.0,41.0,14.63,3.0,16.0,0.0,1.0,143.0,15.0,,,,,
América de Cali,Gustavo Carvajal,Apertura 2023A,0.0,0.0,1.0,0.0,88.46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,,,,,
Deportivo Pasto,Gustavo Charrupi,Apertura 2025A,0.0,0.0,7.0,0.0,86.96,0.0,1.0,0.0,6.0,1.0,0.0,0.0,100.0,0.0,,,,,
Deportivo Pasto,Gustavo Charrupi,Clausura 2024B,0.0,3.0,8.0,0.0,84.42,0.0,10.0,0.0,6.0,3.0,0.0,0.0,195.0,6.0,,,,,
Deportivo Pasto,Gustavo Charrupi,Apertura 2024A,0.0,5.0,16.0,0.0,82.88,1.0,5.0,0.0,2.0,3.0,0.0,0.0,184.0,3.0,,,,,
Deportivo Pasto,Gustavo Charrupi,Clausura 2023B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
Deportes Tolima,Gustavo Ramírez,Apertura 2025A,1.0,0.0,1.0,0.0,82.67,2.0,11.0,9.09,1.0,3.0,0.0,0.0,62.0,3.0,,,,,
Deportes Tolima,Gustavo Ramírez,Clausura 2024B,3.0,2.0,9.0,2.0,77.72,1.0,21.0,14.29,0.0,5.0,0.0,2.0,150.0,3.0,,,,,
Deportivo Cali,Gustavo Ramírez,Clausura 2023B,7.0,9.0,10.0,1.0,67.83,4.0,42.0,16.67,3.0,10.0,0.0,1.0,234.0,14.0,,,,,
Deportivo Cali,Gustavo Ramírez,Apertura 2023A,2.0,1.0,0.0,0.0,74.85,4.0,24.0,8.33,0.0,7.0,0.0,0.0,122.0,10.0,,,,,
Deportivo Pasto,Gustavo Torres,Apertura 2025A,1.0,5.0,9.0,2.0,80.8,1.0,11.0,9.09,3.0,5.0,0.0,0.0,101.0,6.0,,,,,
Deportivo Pasto,Gustavo Torres,Clausura 2024B,0.0,2.0,9.0,0.0,76.67,0.0,24.0,0.0,1.0,3.0,0.0,1.0,138.0,5.0,,,,,
Once Caldas,Gustavo Torres,Apertura 2024A,1.0,8.0,26.0,2.0,66.4,2.0,25.0,4.0,3.0,15.0,0.0,3.0,253.0,25.0,,,,,
Unión Magdalena,Gustavo Torres,Clausura 2023B,7.0,15.0,9.0,2.0,77.48,3.0,52.0,13.46,5.0,9.0,0.0,0.0,320.0,17.0,,,,,
Atlético Bucaramanga,Gustavo Torres,Apertura 2023A,0.0,2.0,7.0,2.0,79.7,0.0,22.0,0.0,5.0,8.0,0.0,1.0,161.0,8.0,,,,,
Deportivo Cali,Guzmán Corujo,Apertura 2025A,0.0,0.0,2.0,0.0,76.54,0.0,0.0,0.0,4.0,9.0,0.0,0.0,62.0,2.0,,,,,
Atlético Bucaramanga,Hadier Borja,Clausura 2023B,0.0,0.0,0.0,0.0,94.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,,,,,
Atlético Bucaramanga,Hadier Borja,Apertura 2023A,0.0,7.0,11.0,0.0,86.33,0.0,4.0,0.0,8.0,14.0,0.0,1.0,120.0,4.0,,,,,
Atlético Nacional,Harlen Castillo,Apertura 2025A,0.0,0.0,0.0,0.0,74.87,0.0,1.0,0.0,0.0,4.0,0.0,0.0,143.0,0.0,18.0,1.0,0.0,6.0,1.0
Atlético Nacional,Harlen Castillo,Clausura 2024B,0.0,0.0,0.0,0.0,72.73,0.0,0.0,0.0,0.0,5.0,0.0,0.0,144.0,0.0,19.0,2.0,0.0,8.0,1.0
Atlético Nacional,Harlen Castillo,Apertura 2024A,0.0,1.0,0.0,0.0,66.21,0.0,0.0,0.0,0.0,9.0,0.0,0.0,292.0,1.0,38.0,6.0,0.0,25.0,2.0
Atlético Nacional,Harlen Castillo,Clausura 2023B,0.0,0.0,1.0,0.0,59.76,0.0,0.0,0.0,0.0,3.0,0.0,0.0,150.0,0.0,23.0,1.0,0.0,14.0,7.0
Atlético Nacional,Harlen Castillo,Apertura 2023A,0.0,0.0,0.0,0.0,69.58,0.0,0.0,0.0,0.0,10.0,0.0,0.0,215.0,0.0,19.0,4.0,1.0,13.0,2.0
Fortaleza CEIF,Harold Balanta,Apertura 2025A,0.0,3.0,9.0,0.0,90.52,0.0,1.0,0.0,8.0,29.0,0.0,0.0,191.0,1.0,,,,,
Llaneros FC,Harold Reina,Apertura 2025A,0.0,0.0,0.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,,,,
Junior Barranquilla,Harold Rivera,Apertura 2025A,0.0,0.0,0.0,0.0,96.43,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,0.0,,,,,
América de Cali,Harold Rivera,Clausura 2024B,2.0,0.0,12.0,1.0,86.7,0.0,12.0,16.67,18.0,9.0,0.0,1.0,476.0,10.0,,,,,
América de Cali,Harold Rivera,Apertura 2024A,1.0,3.0,13.0,1.0,86.49,0.0,17.0,5.88,9.0,5.0,0.0,3.0,480.0,11.0,,,,,
Independiente Santa Fe,Harold Rivera,Clausura 2023B,0.0,1.0,3.0,0.0,82.88,0.0,1.0,0.0,4.0,4.0,0.0,0.0,121.0,3.0,,,,,
