Team,Name,Torneo,Goals,Succ. dribbles,Tackles,Assists,Accurate passes %,Big chances missed,Total shots,Goal conversion %,Interceptions,Clearances,Errors leading to goal,Big chances created,Accurate passes,Key passes,Saves,Clean sheet,Penalties saved,Saves from inside box,Runs out
Boyacá Chicó FC,Abdid Muñoz,Clausura 2024B,0.0,3.0,6.0,0.0,71.08,0.0,1.0,0.0,6.0,4.0,0.0,0.0,59.0,0.0,,,,,
Atlético Bucaramanga,Adalberto Peñaranda,Apertura 2025A,0.0,2.0,0.0,0.0,74.07,0.0,3.0,0.0,0.0,1.0,0.0,0.0,40.0,3.0,,,,,
Atlético Bucaramanga,Adalberto Peñaranda,Clausura 2024B,0.0,10.0,3.0,1.0,81.13,0.0,6.0,0.0,0.0,2.0,0.0,1.0,43.0,3.0,,,,,
Boyacá Chicó FC,Adrian Chara,Clausura 2024B,0.0,7.0,1.0,0.0,86.36,0.0,4.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,,,,,
Boyacá Chicó FC,Adrian Chara,Apertura 2024A,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,
Deportivo Cali,Adrian Palacios,Apertura 2024A,0.0,3.0,4.0,0.0,76.0,0.0,1.0,0.0,6.0,18.0,0.0,0.0,171.0,1.0,,,,,
Atlético Bucaramanga,Adriel Galeano,Clausura 2023B,0.0,3.0,2.0,0.0,83.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,,,,,
Atlético Bucaramanga,Adriel Galeano,Apertura 2023A,0.0,3.0,5.0,0.0,86.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,,,,,
Deportivo Pereira,Adrián Balboa,Clausura 2023B,4.0,4.0,6.0,1.0,57.39,3.0,25.0,16.0,4.0,2.0,0.0,0.0,66.0,9.0,,,,,
Deportivo Pereira,Adrián Estacio,Apertura 2025A,0.0,6.0,2.0,0.0,71.08,1.0,12.0,0.0,3.0,1.0,0.0,0.0,59.0,10.0,,,,,
Rionegro Águilas Doradas,Adrián Estacio,Clausura 2024B,0.0,1.0,8.0,0.0,66.37,1.0,20.0,0.0,2.0,3.0,0.0,0.0,75.0,3.0,,,,,
Rionegro Águilas Doradas,Adrián Estacio,Apertura 2024A,0.0,3.0,3.0,1.0,82.44,1.0,14.0,0.0,1.0,0.0,0.0,2.0,108.0,4.0,,,,,
Rionegro Águilas Doradas,Adrián Estacio,Clausura 2023B,0.0,5.0,9.0,2.0,71.84,1.0,24.0,0.0,1.0,1.0,0.0,0.0,125.0,8.0,,,,,
Deportivo Pasto,Adrián Estacio,Apertura 2023A,3.0,22.0,36.0,2.0,72.61,0.0,75.0,4.0,13.0,3.0,0.0,2.0,464.0,40.0,,,,,
Deportes Tolima,Adrián Parra,Apertura 2025A,0.0,0.0,3.0,1.0,82.22,1.0,4.0,0.0,1.0,0.0,0.0,1.0,37.0,5.0,,,,,
Fortaleza CEIF,Adrián Parra,Clausura 2024B,2.0,5.0,14.0,1.0,79.94,1.0,13.0,15.38,3.0,5.0,0.0,1.0,287.0,17.0,,,,,
Fortaleza CEIF,Adrián Parra,Apertura 2024A,5.0,21.0,33.0,1.0,76.35,1.0,37.0,13.51,6.0,8.0,0.0,3.0,410.0,31.0,,,,,
Deportivo Cali,Adrián Parra,Clausura 2023B,3.0,2.0,26.0,1.0,81.27,2.0,17.0,17.65,3.0,6.0,0.0,0.0,230.0,11.0,,,,,
Deportivo Cali,Adrián Parra,Apertura 2023A,1.0,1.0,3.0,0.0,71.23,1.0,3.0,33.33,0.0,0.0,0.0,0.0,52.0,4.0,,,,,
América de Cali,Adrián Ramos,Clausura 2024B,6.0,0.0,4.0,1.0,64.4,2.0,29.0,20.69,3.0,9.0,0.0,0.0,123.0,12.0,,,,,
América de Cali,Adrián Ramos,Apertura 2024A,1.0,5.0,5.0,0.0,66.09,2.0,28.0,3.57,2.0,7.0,0.0,1.0,76.0,10.0,,,,,
América de Cali,Adrián Ramos,Clausura 2023B,8.0,8.0,11.0,3.0,73.68,3.0,43.0,18.6,6.0,9.0,0.0,2.0,238.0,16.0,,,,,
América de Cali,Adrián Ramos,Apertura 2023A,4.0,7.0,8.0,4.0,72.91,4.0,30.0,13.33,7.0,14.0,0.0,4.0,261.0,23.0,,,,,
Boyacá Chicó FC,Agustín Aleo,Clausura 2023B,0.0,3.0,5.0,1.0,60.71,1.0,5.0,0.0,7.0,1.0,0.0,2.0,51.0,10.0,,,,,
Boyacá Chicó FC,Agustín Aleo,Apertura 2023A,0.0,4.0,8.0,3.0,70.89,0.0,1.0,0.0,8.0,8.0,0.0,2.0,151.0,4.0,,,,,
Atlético Nacional,Agustín Cano,Apertura 2024A,0.0,4.0,5.0,1.0,81.82,1.0,4.0,0.0,2.0,1.0,0.0,1.0,63.0,3.0,,,,,
Rionegro Águilas Doradas,Agustín Fontana,Clausura 2024B,0.0,0.0,1.0,0.0,58.62,0.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,,,,,
Patriotas Boyacá,Agustín Pezzi,Apertura 2024A,0.0,0.0,1.0,0.0,81.97,1.0,1.0,0.0,2.0,9.0,0.0,0.0,50.0,0.0,,,,,
Independiente Santa Fe,Agustín Rodríguez,Clausura 2024B,2.0,3.0,4.0,1.0,71.85,1.0,22.0,9.09,3.0,2.0,0.0,0.0,97.0,14.0,,,,,
Independiente Santa Fe,Agustín Rodríguez,Apertura 2024A,5.0,5.0,4.0,1.0,67.13,2.0,29.0,17.24,3.0,11.0,0.0,1.0,96.0,16.0,,,,,
Rionegro Águilas Doradas,Agustín Vuletich,Apertura 2024A,2.0,1.0,5.0,0.0,69.49,1.0,13.0,15.38,2.0,10.0,0.0,0.0,82.0,7.0,,,,,
Atlético Nacional,Agustín Álvarez,Apertura 2024A,0.0,4.0,8.0,0.0,83.37,0.0,7.0,0.0,10.0,8.0,0.0,0.0,411.0,10.0,,,,,
Unión Magdalena,Alain Guerrero,Clausura 2023B,0.0,7.0,21.0,0.0,79.67,0.0,4.0,0.0,4.0,16.0,0.0,0.0,286.0,1.0,,,,,
Unión Magdalena,Alain Guerrero,Apertura 2023A,0.0,4.0,4.0,0.0,76.79,0.0,1.0,0.0,2.0,0.0,0.0,0.0,43.0,1.0,,,,,
Atlético Bucaramanga,Aldair Cantillo,Clausura 2023B,0.0,0.0,2.0,0.0,83.33,0.0,0.0,0.0,2.0,8.0,0.0,0.0,25.0,0.0,,,,,
Atlético Huila,Aldair Cantillo,Apertura 2023A,0.0,3.0,11.0,0.0,76.64,0.0,2.0,0.0,8.0,12.0,0.0,0.0,210.0,1.0,,,,,
Atlético Bucaramanga,Aldair Gutiérrez,Apertura 2025A,0.0,3.0,13.0,0.0,73.5,0.0,4.0,0.0,12.0,18.0,0.0,0.0,233.0,8.0,,,,,
Atlético Bucaramanga,Aldair Gutiérrez,Clausura 2024B,0.0,4.0,19.0,1.0,69.44,0.0,4.0,0.0,16.0,31.0,0.0,0.0,259.0,6.0,,,,,
Atlético Bucaramanga,Aldair Gutiérrez,Apertura 2024A,0.0,10.0,37.0,2.0,69.29,0.0,7.0,0.0,29.0,52.0,0.0,1.0,422.0,24.0,,,,,
Deportivo Cali,Aldair Gutiérrez,Clausura 2023B,0.0,2.0,15.0,0.0,70.81,0.0,1.0,0.0,10.0,10.0,0.0,1.0,148.0,3.0,,,,,
Deportivo Cali,Aldair Gutiérrez,Apertura 2023A,0.0,9.0,57.0,2.0,72.83,1.0,5.0,0.0,48.0,28.0,0.0,3.0,563.0,21.0,,,,,
Atlético Bucaramanga,Aldair Quintana,Apertura 2025A,0.0,0.0,1.0,0.0,68.44,0.0,0.0,0.0,0.0,10.0,0.0,0.0,154.0,0.0,32.0,4.0,1.0,19.0,3.0
Atlético Bucaramanga,Aldair Quintana,Clausura 2024B,0.0,0.0,0.0,1.0,59.72,0.0,0.0,0.0,0.0,16.0,0.0,0.0,212.0,1.0,55.0,6.0,0.0,33.0,2.0
Atlético Bucaramanga,Aldair Quintana,Apertura 2024A,0.0,0.0,0.0,0.0,57.12,0.0,0.0,0.0,0.0,27.0,0.0,0.0,305.0,0.0,71.0,15.0,1.0,38.0,4.0
Deportivo Pereira,Aldair Quintana,Clausura 2023B,0.0,0.0,2.0,0.0,72.73,0.0,0.0,0.0,0.0,5.0,1.0,0.0,272.0,0.0,29.0,4.0,0.0,10.0,0.0
Deportivo Pereira,Aldair Quintana,Apertura 2023A,0.0,0.0,0.0,0.0,67.42,0.0,0.0,0.0,0.0,13.0,2.0,0.0,269.0,1.0,52.0,4.0,2.0,27.0,2.0
Atlético Bucaramanga,Aldair Zarate,Apertura 2025A,0.0,3.0,12.0,0.0,87.56,0.0,8.0,0.0,3.0,0.0,0.0,0.0,169.0,8.0,,,,,
Atlético Bucaramanga,Aldair Zarate,Clausura 2024B,1.0,2.0,9.0,0.0,90.0,0.0,8.0,12.5,2.0,2.0,0.0,0.0,189.0,3.0,,,,,
Atlético Bucaramanga,Aldair Zarate,Apertura 2024A,0.0,7.0,18.0,0.0,85.01,0.0,15.0,0.0,10.0,4.0,0.0,0.0,414.0,8.0,,,,,
Atlético Bucaramanga,Aldair Zarate,Clausura 2023B,0.0,0.0,6.0,0.0,84.92,0.0,5.0,0.0,1.0,5.0,0.0,0.0,107.0,3.0,,,,,
Atlético Bucaramanga,Aldair Zarate,Apertura 2023A,0.0,4.0,9.0,1.0,84.21,0.0,13.0,0.0,4.0,4.0,0.0,0.0,208.0,2.0,,,,,
Atlético Bucaramanga,Alejandro Artunduaga,Apertura 2025A,0.0,0.0,3.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,,,,,
Once Caldas,Alejandro Artunduaga,Apertura 2023A,0.0,8.0,9.0,0.0,80.12,0.0,2.0,0.0,3.0,7.0,0.0,0.0,133.0,3.0,,,,,
Envigado FC,Alejandro Chalarca,Apertura 2024A,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,
Once Caldas,Alejandro García,Apertura 2025A,0.0,2.0,8.0,1.0,83.25,0.0,6.0,0.0,3.0,2.0,0.0,0.0,169.0,9.0,,,,,
Once Caldas,Alejandro García,Clausura 2024B,1.0,18.0,24.0,1.0,85.22,0.0,27.0,3.7,9.0,2.0,0.0,2.0,588.0,36.0,,,,,
Once Caldas,Alejandro García,Apertura 2024A,0.0,6.0,17.0,3.0,81.57,0.0,7.0,0.0,7.0,3.0,0.0,1.0,332.0,8.0,,,,,
Once Caldas,Alejandro García,Clausura 2023B,0.0,7.0,24.0,2.0,80.04,0.0,18.0,0.0,11.0,3.0,0.0,1.0,433.0,25.0,,,,,
Once Caldas,Alejandro García,Apertura 2023A,1.0,9.0,21.0,0.0,88.24,0.0,10.0,10.0,7.0,2.0,0.0,0.0,240.0,11.0,,,,,
Boyacá Chicó FC,Alejandro Mejía,Apertura 2024A,0.0,0.0,10.0,0.0,72.31,0.0,3.0,0.0,4.0,6.0,0.0,0.0,47.0,0.0,,,,,
Boyacá Chicó FC,Alejandro Mejía,Clausura 2023B,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,
Atlético Bucaramanga,Alejandro Moralez,Apertura 2025A,0.0,0.0,2.0,0.0,81.65,0.0,5.0,0.0,2.0,7.0,0.0,0.0,89.0,1.0,,,,,
Fortaleza CEIF,Alejandro Moralez,Clausura 2024B,0.0,3.0,7.0,0.0,79.17,2.0,5.0,0.0,5.0,33.0,0.0,0.0,323.0,0.0,,,,,
Fortaleza CEIF,Alejandro Moralez,Apertura 2024A,0.0,3.0,17.0,0.0,83.08,0.0,5.0,0.0,5.0,18.0,1.0,0.0,383.0,8.0,,,,,
Deportivo Pereira,Alejandro Piedrahita,Clausura 2024B,3.0,7.0,6.0,1.0,71.09,0.0,18.0,16.67,3.0,2.0,0.0,1.0,150.0,12.0,,,,,
Deportivo Pereira,Alejandro Piedrahita,Apertura 2024A,3.0,21.0,28.0,0.0,78.47,5.0,31.0,9.68,7.0,6.0,0.0,0.0,390.0,15.0,,,,,
Deportivo Pereira,Alejandro Piedrahita,Clausura 2023B,1.0,2.0,3.0,1.0,69.29,0.0,8.0,12.5,1.0,0.0,0.0,1.0,88.0,5.0,,,,,
Deportivo La Equidad,Alejandro Prieto,Clausura 2023B,0.0,0.0,1.0,0.0,48.65,0.0,0.0,0.0,1.0,4.0,0.0,0.0,18.0,0.0,,,,,
Deportivo La Equidad,Alejandro Prieto,Apertura 2023A,0.0,2.0,21.0,0.0,67.69,1.0,6.0,0.0,14.0,29.0,0.0,0.0,155.0,6.0,,,,,
Deportivo Cali,Alejandro Rodríguez,Apertura 2025A,0.0,0.0,1.0,0.0,62.6,0.0,0.0,0.0,0.0,8.0,0.0,0.0,159.0,0.0,27.0,6.0,2.0,14.0,0.0
Deportivo Cali,Alejandro Rodríguez,Clausura 2024B,0.0,0.0,0.0,0.0,58.33,0.0,0.0,0.0,0.0,4.0,0.0,0.0,84.0,0.0,21.0,2.0,0.0,9.0,0.0
Deportivo Cali,Alejandro Rodríguez,Apertura 2024A,0.0,1.0,0.0,0.0,71.83,0.0,0.0,0.0,0.0,12.0,0.0,0.0,283.0,1.0,54.0,4.0,0.0,23.0,1.0
Deportivo Cali,Alejandro Rodríguez,Clausura 2023B,0.0,0.0,3.0,0.0,61.35,0.0,0.0,0.0,0.0,13.0,1.0,0.0,200.0,0.0,59.0,5.0,0.0,28.0,3.0
Deportivo Pereira,Alejandro Álvarez,Apertura 2025A,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
Deportivo Pereira,Alejandro Álvarez,Clausura 2024B,0.0,1.0,2.0,0.0,74.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,,,,,
Deportivo Pereira,Alejandro Álvarez,Apertura 2024A,0.0,0.0,2.0,0.0,87.5,1.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,,,,,
Deportes Tolima,Alex Castro,Apertura 2025A,1.0,9.0,15.0,2.0,81.17,0.0,5.0,20.0,1.0,8.0,0.0,1.0,194.0,12.0,,,,,
Deportes Tolima,Alex Castro,Clausura 2024B,0.0,14.0,17.0,2.0,81.5,0.0,16.0,0.0,8.0,1.0,0.0,1.0,445.0,23.0,,,,,
Deportes Tolima,Alex Castro,Apertura 2024A,3.0,21.0,23.0,1.0,81.85,1.0,35.0,8.57,7.0,1.0,0.0,2.0,469.0,28.0,,,,,
Deportes Tolima,Alex Castro,Clausura 2023B,3.0,24.0,11.0,1.0,73.55,0.0,14.0,21.43,6.0,2.0,0.0,1.0,253.0,16.0,,,,,
Rionegro Águilas Doradas,Alex Castro,Apertura 2023A,0.0,16.0,6.0,2.0,80.85,0.0,12.0,0.0,1.0,0.0,0.0,0.0,152.0,16.0,,,,,
Millonarios,Alex Moreno,Apertura 2024A,0.0,1.0,4.0,0.0,86.34,0.0,0.0,0.0,3.0,26.0,0.0,0.0,139.0,0.0,,,,,
Millonarios,Alex Moreno,Clausura 2023B,0.0,2.0,9.0,0.0,80.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,160.0,0.0,,,,,
Millonarios,Alex Moreno,Apertura 2023A,1.0,3.0,7.0,0.0,77.01,0.0,2.0,50.0,4.0,16.0,0.0,0.0,211.0,0.0,,,,,
Deportivo Cali,Alexander Mejía,Clausura 2024B,0.0,1.0,15.0,0.0,78.83,0.0,1.0,0.0,13.0,24.0,0.0,2.0,376.0,4.0,,,,,
Deportivo Cali,Alexander Mejía,Apertura 2024A,0.0,2.0,43.0,0.0,82.68,0.0,2.0,0.0,17.0,33.0,0.0,0.0,573.0,7.0,,,,,
Unión Magdalena,Alexander Mejía,Clausura 2023B,0.0,1.0,9.0,1.0,84.76,0.0,0.0,0.0,8.0,15.0,0.0,0.0,367.0,8.0,,,,,
Unión Magdalena,Alexander Mejía,Apertura 2023A,0.0,7.0,34.0,1.0,83.71,0.0,5.0,0.0,20.0,33.0,0.0,1.0,663.0,7.0,,,,,
Atlético Nacional,Alexandro Licona,Clausura 2023B,0.0,2.0,2.0,0.0,70.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,14.0,0.0,,,,,
Independiente Medellín,Alexis Serna,Apertura 2025A,0.0,2.0,4.0,0.0,82.8,0.0,0.0,0.0,1.0,2.0,0.0,0.0,77.0,3.0,,,,,
Independiente Santa Fe,Alexis Zapata,Apertura 2025A,3.0,3.0,6.0,2.0,79.11,0.0,13.0,23.08,7.0,3.0,0.0,1.0,178.0,8.0,,,,,
América de Cali,Alexis Zapata,Clausura 2024B,1.0,4.0,8.0,1.0,80.98,1.0,28.0,3.57,7.0,7.0,0.0,2.0,281.0,18.0,,,,,
América de Cali,Alexis Zapata,Apertura 2024A,0.0,3.0,2.0,0.0,82.24,1.0,10.0,0.0,1.0,0.0,0.0,0.0,88.0,5.0,,,,,
Deportes Tolima,Alfonso Simarra,Clausura 2024B,0.0,0.0,6.0,0.0,88.11,0.0,0.0,0.0,5.0,10.0,0.0,0.0,126.0,1.0,,,,,
Alianza Valledupar FC,Alfonso Simarra,Apertura 2024A,0.0,3.0,10.0,0.0,80.55,0.0,6.0,0.0,5.0,33.0,0.0,0.0,265.0,2.0,,,,,
Alianza Petrolera,Alfonso Simarra,Clausura 2023B,1.0,5.0,8.0,0.0,75.0,0.0,5.0,20.0,8.0,31.0,0.0,1.0,264.0,3.0,,,,,
Junior Barranquilla,Alfonso Simarra,Apertura 2023A,0.0,0.0,0.0,0.0,70.59,0.0,1.0,0.0,0.0,8.0,0.0,0.0,36.0,0.0,,,,,
Atlético Nacional,Alfredo Morelos,Apertura 2025A,4.0,4.0,3.0,2.0,81.82,0.0,24.0,16.67,0.0,5.0,0.0,0.0,153.0,10.0,,,,,
Atlético Nacional,Alfredo Morelos,Clausura 2024B,7.0,4.0,6.0,2.0,77.96,7.0,56.0,12.5,2.0,7.0,0.0,2.0,329.0,26.0,,,,,
Once Caldas,Alvaro Montaño,Clausura 2024B,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,,,,
Once Caldas,Alvaro Montaño,Apertura 2024A,0.0,0.0,9.0,0.0,80.65,0.0,0.0,0.0,5.0,4.0,0.0,0.0,75.0,2.0,,,,,
Once Caldas,Alvaro Montaño,Clausura 2023B,1.0,4.0,15.0,0.0,84.55,0.0,4.0,25.0,7.0,3.0,0.0,0.0,279.0,3.0,,,,,
Deportivo Pasto,Alvaro Montaño,Apertura 2023A,0.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,,,,,
Envigado FC,Aly Palacios,Clausura 2024B,0.0,6.0,1.0,0.0,86.96,0.0,1.0,0.0,2.0,0.0,0.0,0.0,20.0,3.0,,,,,
Envigado FC,Aly Palacios,Apertura 2024A,0.0,3.0,3.0,0.0,65.91,1.0,3.0,0.0,2.0,1.0,0.0,0.0,29.0,2.0,,,,,
Envigado FC,Aly Palacios,Clausura 2023B,1.0,8.0,1.0,0.0,73.68,0.0,3.0,33.33,0.0,0.0,0.0,0.0,42.0,3.0,,,,,
Deportivo La Equidad,Amaury Torralvo,Apertura 2025A,0.0,0.0,0.0,0.0,76.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,
Deportivo La Equidad,Amaury Torralvo,Clausura 2024B,1.0,0.0,0.0,1.0,77.14,0.0,3.0,33.33,1.0,3.0,0.0,1.0,108.0,4.0,,,,,
Deportivo La Equidad,Amaury Torralvo,Apertura 2024A,0.0,1.0,9.0,1.0,78.37,1.0,7.0,0.0,4.0,11.0,0.0,1.0,250.0,18.0,,,,,
Deportivo La Equidad,Amaury Torralvo,Clausura 2023B,0.0,0.0,6.0,0.0,78.04,0.0,1.0,0.0,4.0,9.0,0.0,0.0,167.0,5.0,,,,,
Junior Barranquilla,Amaury Torralvo,Apertura 2023A,0.0,0.0,0.0,0.0,86.59,0.0,0.0,0.0,1.0,2.0,0.0,0.0,71.0,1.0,,,,,
Deportes Tolima,Anderson Angulo,Apertura 2025A,0.0,1.0,6.0,0.0,83.11,0.0,3.0,0.0,10.0,41.0,0.0,0.0,305.0,3.0,,,,,
Deportes Tolima,Anderson Angulo,Clausura 2024B,2.0,4.0,25.0,1.0,84.96,0.0,5.0,40.0,20.0,101.0,0.0,0.0,870.0,4.0,,,,,
Deportes Tolima,Anderson Angulo,Apertura 2024A,0.0,2.0,11.0,0.0,90.4,1.0,3.0,0.0,3.0,24.0,0.0,0.0,320.0,0.0,,,,,
Deportes Tolima,Anderson Angulo,Clausura 2023B,0.0,0.0,7.0,0.0,82.52,0.0,4.0,0.0,9.0,43.0,0.0,0.0,269.0,1.0,,,,,
Deportes Tolima,Anderson Angulo,Apertura 2023A,0.0,1.0,7.0,0.0,81.92,0.0,4.0,0.0,24.0,47.0,0.0,0.0,281.0,1.0,,,,,
Llaneros FC,Anderson Mojica,Apertura 2025A,0.0,0.0,5.0,0.0,68.57,0.0,0.0,0.0,3.0,4.0,0.0,0.0,24.0,0.0,,,,,
Boyacá Chicó FC,Anderson Mojica,Apertura 2024A,0.0,0.0,6.0,0.0,66.22,0.0,1.0,0.0,6.0,6.0,0.0,1.0,49.0,1.0,,,,,
Rionegro Águilas Doradas,Anderson Plata,Apertura 2025A,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,
Deportivo Cali,Anderson Plata,Clausura 2024B,1.0,11.0,16.0,1.0,62.99,2.0,9.0,11.11,2.0,4.0,0.0,1.0,97.0,14.0,,,,,
Independiente Medellín,Anderson Plata,Apertura 2024A,1.0,25.0,17.0,2.0,59.79,1.0,10.0,10.0,1.0,3.0,0.0,1.0,113.0,13.0,,,,,
Independiente Medellín,Anderson Plata,Clausura 2023B,2.0,36.0,12.0,3.0,69.08,3.0,20.0,10.0,11.0,5.0,0.0,6.0,210.0,29.0,,,,,
Boyacá Chicó FC,Andres Aedo,Apertura 2025A,0.0,0.0,7.0,0.0,82.18,0.0,3.0,0.0,2.0,26.0,0.0,0.0,143.0,2.0,,,,,
Boyacá Chicó FC,Andres Aedo,Clausura 2024B,0.0,0.0,4.0,0.0,76.06,0.0,0.0,0.0,2.0,10.0,0.0,0.0,54.0,3.0,,,,,
Unión Magdalena,Andres Carreno,Clausura 2023B,0.0,0.0,0.0,0.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,
Unión Magdalena,Andres Carreno,Apertura 2023A,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,
Junior Barranquilla,Andres Colorado,Apertura 2025A,0.0,0.0,4.0,0.0,88.89,1.0,1.0,0.0,1.0,1.0,0.0,0.0,48.0,0.0,,,,,
Junior Barranquilla,Andres Colorado,Clausura 2024B,0.0,1.0,7.0,0.0,86.63,0.0,5.0,0.0,3.0,14.0,0.0,0.0,175.0,2.0,,,,,
Deportivo La Equidad,Andres Correa,Apertura 2025A,0.0,1.0,14.0,0.0,74.49,0.0,16.0,0.0,6.0,21.0,0.0,0.0,219.0,14.0,,,,,
Deportivo La Equidad,Andres Correa,Clausura 2024B,0.0,6.0,32.0,0.0,71.59,1.0,15.0,0.0,16.0,43.0,0.0,1.0,378.0,15.0,,,,,
Deportivo La Equidad,Andres Correa,Apertura 2024A,0.0,12.0,23.0,2.0,77.07,0.0,23.0,0.0,19.0,48.0,0.0,2.0,521.0,25.0,,,,,
Deportivo La Equidad,Andres Correa,Clausura 2023B,1.0,7.0,29.0,1.0,75.93,0.0,13.0,7.69,19.0,36.0,0.0,0.0,410.0,13.0,,,,,
Once Caldas,Andres Correa,Clausura 2023B,0.0,1.0,11.0,0.0,77.8,1.0,9.0,0.0,12.0,40.0,0.0,0.0,361.0,5.0,,,,,
Deportivo La Equidad,Andres Correa,Apertura 2023A,0.0,3.0,22.0,1.0,75.34,0.0,7.0,0.0,26.0,27.0,0.0,1.0,281.0,9.0,,,,,
Once Caldas,Andres Correa,Apertura 2023A,2.0,2.0,22.0,0.0,82.96,1.0,23.0,8.7,34.0,45.0,0.0,0.0,599.0,5.0,,,,,
Atlético Huila,Andres Felipe Rivera Lozano,Clausura 2023B,0.0,1.0,19.0,0.0,72.95,0.0,1.0,0.0,7.0,26.0,0.0,1.0,178.0,4.0,,,,,
Atlético Huila,Andres Felipe Rivera Lozano,Apertura 2023A,0.0,6.0,32.0,1.0,63.1,1.0,10.0,0.0,24.0,40.0,0.0,0.0,289.0,14.0,,,,,
Deportivo La Equidad,Andres Perez,Apertura 2025A,0.0,0.0,0.0,0.0,68.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,1.0,0.0
Deportivo La Equidad,Andres Perez,Clausura 2024B,0.0,0.0,0.0,0.0,53.85,0.0,0.0,0.0,0.0,7.0,0.0,0.0,70.0,0.0,5.0,0.0,0.0,1.0,1.0
Deportivo La Equidad,Andres Perez,Apertura 2024A,0.0,0.0,0.0,0.0,48.39,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,0.0,6.0,1.0,0.0,1.0,2.0
Deportivo Cali,Andrey Estupiñán,Apertura 2025A,2.0,1.0,12.0,1.0,73.44,0.0,14.0,14.29,3.0,4.0,0.0,2.0,141.0,9.0,,,,,
Deportivo Cali,Andrey Estupiñán,Clausura 2024B,4.0,5.0,10.0,0.0,77.44,3.0,23.0,17.39,6.0,6.0,0.0,1.0,151.0,10.0,,,,,
Deportivo Cali,Andrey Estupiñán,Apertura 2024A,1.0,1.0,2.0,0.0,82.2,0.0,2.0,50.0,3.0,2.0,0.0,1.0,97.0,2.0,,,,,
Junior Barranquilla,Andrey Estupiñán,Clausura 2023B,0.0,1.0,3.0,0.0,80.39,0.0,3.0,0.0,1.0,0.0,0.0,0.0,41.0,1.0,,,,,
Junior Barranquilla,Andrey Estupiñán,Apertura 2023A,0.0,5.0,4.0,0.0,86.46,0.0,5.0,0.0,1.0,0.0,1.0,0.0,83.0,1.0,,,,,
Deportivo Pasto,Andrés Alarcón,Apertura 2025A,1.0,1.0,9.0,0.0,85.75,0.0,2.0,50.0,5.0,58.0,0.0,0.0,331.0,1.0,,,,,
Patriotas Boyacá,Andrés Alarcón,Clausura 2024B,2.0,6.0,17.0,1.0,80.38,1.0,17.0,11.76,17.0,55.0,0.0,1.0,549.0,14.0,,,,,
Patriotas Boyacá,Andrés Alarcón,Apertura 2024A,1.0,2.0,21.0,0.0,86.92,1.0,11.0,9.09,10.0,33.0,0.0,0.0,372.0,6.0,,,,,
Independiente Medellín,Andrés Alfonso,Clausura 2024B,0.0,0.0,1.0,0.0,72.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,18.0,0.0,,,,,
Independiente Medellín,Andrés Alfonso,Apertura 2023A,0.0,0.0,2.0,0.0,77.36,0.0,1.0,0.0,0.0,4.0,0.0,0.0,41.0,1.0,,,,,
Deportivo Pasto,Andrés Amaya,Clausura 2024B,0.0,0.0,1.0,0.0,66.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,,,,,
Deportivo Pasto,Andrés Amaya,Apertura 2024A,0.0,10.0,14.0,0.0,70.16,1.0,22.0,0.0,5.0,2.0,0.0,0.0,87.0,6.0,,,,,
Atlético Bucaramanga,Andrés Andrade,Apertura 2025A,0.0,0.0,1.0,1.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,,,,,
